Phylum	Sub Phylum	Class	Order	Family	Genus	Species	Common Name	C-value	Chrom num	Method	Cell type	Std sp	References
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Cisseps	Cisseps fulvicollis	Yellow-collared scape moth	0.46		FCM	BR	DM	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Ctenucha	Ctenucha virginica	Virginia Ctenucha	0.50		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Euchaetes	Euchaetes egle	Milkweed tiger moth	0.79		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Grammea	Grammea virgo	Virgin tiger moth	0.98		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Halisidota	Halisidota tesselaris	Tiger moth	0.61		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Hyphantria	Hyphantria cunea	Fall webworm moth	0.66		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Hypoprepia	Hypoprepia fucosa	Painted lichen moth	1.13		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Spilosoma	Spilosoma virginica	Virginian tiger moth	0.64		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mandarina	Wild silkmoth	0.48		FCM	BR	DV	"Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19: 809–823."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mori	Silkworm moth	0.52		FD	"HE, S"	"DM, GD, XL"	"Rasch, E.M. (1974). The DNA content of sperm and hemocyte nuclei of the silkworm, Bombyx mori L. Chromosoma 45: 1-26."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mori	Silkworm moth	0.53		BCA	WB	NS	"Gage, L.P. (1974). The Bombyx mori genome: analysis by DNA reassociation kinetics. Chromosoma 45: 27-42."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Danaidae	Danaus	Danaus plexippus	Monarch butterfly	0.29		FIA	HE	GD	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Drepanidae	Drepana	Drepana arcuata	Arched hooktip moth	0.31		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Drepanidae	Drepana	Drepana bilineata	Two-lined hooktip moth	0.34		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Ennomine	Ennomine sp.	Geometer moth	0.45		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Ennomos	Ennomos subsignarius	Elm spanworm moth	0.40		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Euchlaena	Euchlaena irraria	Least-marked Euchlaena	1.94		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Guenovia	Guenovia simcloria	Geometer moth	0.40		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Lycia	Lycia pomonaria	Moth	1.46		NS	NS	NS	"Petitpierre, E. (1996). Molecular cytogenetics and taxonomy of insects, with particular reference to the Coleoptera. International Journal of Insect Morphology & Embryology 25: 115-133."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Metanema	Metanema determinata	Dark Metanema	1.01		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Nepytia	Nepytia canosaria	False hemlock looper	0.77		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Prochoerodes	Prochoerodes transversata	Maple spanworm moth	0.85		FIA	S	DM	"Gregory, T.R. and P.D.N. Hebert (2003).  Genome size variation in lepidopteran insects.  Canadian Journal of Zoology 81: 1399-1405."
