Family	Genus	Species	Subspecies	hap	Reference
Agaristidae	Seudyra	subflava		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Amathusiidae	Faunis	eumeus		29	"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74."
Arctiidae	Abraxas	grossulariata		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Abraxas	grossulariata	dohrnii	28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Apantesis	phalerata		29	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Apantesis	radians		30	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Arctia	caja		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Arctia	caja	phaesoma	31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Arctia	hebe		30-33	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Cycnial	mendica		26	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Diaphora	mendica		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Earias	fabia		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Earias	insulara		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Halisidota	maculata		17	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Hippocrita	jacobaea		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Hyphantria	cunea		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Lilhosia	quadra		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Miltochrista	miniata		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Ocnogyna	baetica		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Pericallia	ricini		31	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Phragmatobia	fuliginosa		28	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Phragmatobia	fuliginosa	amurensis	29	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."
Arctiidae	Spilarctia	imparilis		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Spilarctia	infernalis		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Spilosoma	lubricipedum		31	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
Arctiidae	Spilosoma	mendica		26	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."
