Family	Genus	species	sub.species	uncertainities	SpecisName	other.names.genera	other.names.species	other.names.sub.species	other.name.type	Source.of.other.name	notes.on.other.name	Sexual.System	Karyotype	notes..Karyotype	Predicted.ploidy	female2N	male2N	notesMale2N	notes..comments	cite.key
Lycaenidae	Polyommatus	shahrami			NA	Polyommatus	shahrami		Accepted	GBIF					NA		268			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	achaemenes			NA	Polyommatus	achaemenes		Accepted	GBIF					NA		268			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	dolus	vittatus		NA	Polyommatus	dolus		Accepted	GBIF					NA		248	248-250	modal chromosome number is reported im male 2n	"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	dolus	virgilia		NA	Polyommatus	dolus		Accepted	GBIF					NA		244			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Noctuidae	Orthosia	rorida			NA	Orthosia	rorida		Accepted	GBIF					NA		240			"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395."
Lycaenidae	Polyommatus	ardschira			NA	Polyommatus	ardschira		Accepted	GBIF					NA		226			"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Geometridae	Phigalia	pilosaria			NA	Phigalia	pilosaria		Accepted	GBIF		gonochorous			NA		224			"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83)."
Lycaenidae	Polyommatus	fulgens			NA	Polyommatus	fulgens		Accepted	GBIF					NA		218	216-220	modal chromosome number is reported im male 2n	"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	pfeifferi			NA	Polyommatus	pfeifferi		Accepted	GBIF					NA		216	212-216	modal chromosome number is reported im male 2n	"Vershinina, A.O. and Lukhtanov, V.A., 2017. Evolutionary mechanisms of runaway chromosome number change in Agrodiaetus butterflies.Scientific Reports,7(1), pp.1-9."
Lycaenidae	Polyommatus	eckweileri			NA	Polyommatus	eckweileri		Accepted	GBIF					NA		216			"Vershinina, A.O. and Lukhtanov, V.A., 2013. Dynamics of chromosome number evolution in the Agrodiaetus phyllis species complex (Insecta: Lepidoptera).Cell and Tissue Biology,7(4), pp.379-381."
Lycaenidae	Agrodiaetus	pfeifferi			NA	Agrodiaetus	pfeiffer		Accepted	GBIF		gonochorous			NA		214	212-216		Lesse 1961e
