Family	Genus	Species	Subspecies	hap		Reference	SpeciesNames
Amathusiidae	Faunis	eumeus		29	58	"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74."	Faunis_eumeus
Arctiidae	Apantesis	phalerata		29	58	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Apantesis_phalerata
Arctiidae	Apantesis	radians		30	60	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Apantesis_radians
Arctiidae	Diaphora	mendica		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Diaphora_mendica
Arctiidae	Earias	insulara		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Earias_insulara
Arctiidae	Halisidota	maculata		17	34	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Halisidota_maculata
Arctiidae	Hippocrita	jacobaea		31	62	"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK."	Hippocrita_jacobaea
Arctiidae	Hyphantria	cunea		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Hyphantria_cunea
Arctiidae	Lilhosia	quadra		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Lilhosia_quadra
Arctiidae	Ocnogyna	baetica		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Ocnogyna_baetica
Arctiidae	Spilarctia	imparilis		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Spilarctia_imparilis
Arctiidae	Spilarctia	infernalis		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Spilarctia_infernalis
Arctiidae	Spilosoma	lubricipedum		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Spilosoma_lubricipedum
Arctiidae	Spilosoma	mendica		26	52	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Spilosoma_mendica
Arctiidae	Spilosoma	obliqua		31	62	"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193."	Spilosoma_obliqua
Arctiidae	Spilosoma	punctaria		34	68	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Spilosoma_punctaria
Arctiidae	Stigmatophora	flava		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Stigmatophora_flava
Arctiidae	Tyria	jacobaeae		31	62	"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738."	Tyria_jacobaeae
Danaidae	Euploea	core		30	60	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."	Euploea_core
Danaidae	Euploea	leuctostictos		30	60	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Euploea_leuctostictos
Danaidae	Euploea	mulciber		29	58	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Euploea_mulciber
Danaidae	Euploea	sylvestor		29	58	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Euploea_sylvestor
Danaidae	Euploea	tulliolus		29	58	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Euploea_tulliolus
Danaidae	Idea	leuconoe	clara	30	60	"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109."	Idea_leuconoe
Danaidae	Parantica	aglea		33	66	"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158."	Parantica_aglea
