Family	Genus	species	sub-species	uncertainities	SpecisName	other-names-genera	other-names-species	other-names-sub-species	other-name-type	Source of other name	notes-on-other-name	Sexual.System	Karyotype	notes..Karyotype	Predicted.ploidy	female2N	male2N	notesMale2N	notes..comments	cite.key
Acraeidae	Acraea	ranavalona				Acraea	ranavalona		Accepted	GBIF							62			"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11."
Apocynaceae	Anartia	amathea				Anartia	amathea		Accepted	GBIF							62			"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of Neotropical butterflies from Trinidad and Tobago.Biotropica, pp.24-31."
Arctiidae	Pericallia	ricini				Pericallia	ricini		Accepted	GBIF		gonochorous					62			"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561."
Arctiidae	Utetheisa	pulchella				Utetheisa	pulchella		Accepted	GBIF		gonochorous					62			"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561."
Arctiidae	Utetheisa	ornatrix				Utetheisa	ornatrix		Accepted	GBIF		gonochorous					62			"Pease Jr, R.W., Thomas, V.I., Rico, P., from Lake, N.C. and Bahama, B.W.I., 1963. Chromosome numbers in geographic populations of the Utetheisa ornatrix (Arctiidae) complex and certain hybrids. J. Lepid. Soc, 17, pp.231-233."
Arctiidae	Utetheisa	ornatrix	bella			Utetheisa	ornatrix		Accepted	GBIF		gonochorous					62			"Pease Jr, R.W., Thomas, V.I., Rico, P., from Lake, N.C. and Bahama, B.W.I., 1963. Chromosome numbers in geographic populations of the Utetheisa ornatrix (Arctiidae) complex and certain hybrids. J. Lepid. Soc, 17, pp.231-233."
Arctiidae	Utetheisa	ornatrix	stretchii			Utetheisa	ornatrix		Accepted	GBIF		gonochorous					62			"Pease Jr, R.W., Thomas, V.I., Rico, P., from Lake, N.C. and Bahama, B.W.I., 1963. Chromosome numbers in geographic populations of the Utetheisa ornatrix (Arctiidae) complex and certain hybrids. J. Lepid. Soc, 17, pp.231-233."
Arctiidae	Miltochrista	miniata				Miltochrista	miniata		Accepted	GBIF							62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Arctiidae	Spilosoma	mendicum				Spilosoma	mendica		Accepted	GBIF							62			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Arctiidae	Cycnial	mendica				Diaphora	mendica		Synonym	GBIF		gonochorous					62			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Arctiidae	Spilosoma	lubricipeda				Spilosoma	lubricipeda		Accepted	GBIF							62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Arctiidae	Hipocrita	jacobaea				Tyria	jacobaeae		Synonym	Lepindex							62			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Arctiidae	Earias	insulana				Earias	insulana		Accepted	GBIF		gonochorous					62			"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561."
Arctiidae	Spilaritia	infernalis										gonochorous					62			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Arctiidae	Spilarctis	imparilis															62			"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87."
Arctiidae	Earias	fabia				Earias	vittella		Synonym	GBIF		gonochorous					62			"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561."
Arctiidae	Arctia	caja				Arctia	caja		Accepted	GBIF							62			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Arctiidae	Arctia	caja	phaesoma			Arctia	caja		Accepted	GBIF							62			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Arctiidae	Spilosoma	menthastri				Spilosoma	lubricipeda		Synonym	GBIF							60			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Arctiidae	Phragmatobia	fuliginosa	amurensis			Phragmatobia	fuliginosa		Accepted	GBIF							58			"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48."
Arctiidae	Abraxas	grossulariata	dohrnii			Abraxas	grossulariata		Accepted	GBIF		gonochorous					56			"Doncaster, D., 1910. Note on the spermatogenesis of Abraxas grossulariata (currant moth). Proceed. of the Cambridge Phil. Soc., 15, pp.44-45."
Arctiidae	Phragmatobia	fuliginosa				Phragmatobia	fuliginosa		Accepted	GBIF		gonochorous	complex ZW	ZZ/ZW1W2		57	56			"Seiler, J., 1914. Das Verhalten der Geschlechtschromosomen bei Lepidopteren. Arch. f. Zellf., 13 (2): 159-269."
Arctiidae	Cycnial	mendica				Diaphora	mendica		Synonym	GBIF		gonochorous					52			"Federley, H., 1932. Die bedeutung der kreuzung für die evolution. Jenische Zeitschrift für Naturwissenschaft, 67, pp.364-386."
Arctiidae	Lophocampa	maculata				Lophocampa	maculata		Accepted	GBIF		gonochorous	ZO			33	34			traut2008sex
Arctiidae	Arctia	hebe				Arctia	festiva		Synonym	GBIF								60-64		"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Bangiaceae	Dione	moneta				Dione	moneta		Accepted	GBIF							62			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Bangiaceae	Dione	juno				Dione	juno		Accepted	GBIF							62			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Bangiaceae	Dione	glycera				Dione	glycera		Accepted	GBIF							62			"Brown jr, K.S., Emmel, T.C., Eliazar, P.J. and Suomalainen, E., 1992. Evolutionary patterns in chromosome numbers in neotropical Lepidoptera: I. Chromosomes of the Heliconiini (Family Nymphalidae: Subfamily Nymphalidae).†Hereditas,†117(2), pp.109-125."
Bombycidae	Theophila	religiosae				Bombyx	huttoni		Synonym	Lepindex		gonochorous					62			Tazima and Inagaki 1959
Bombycidae	Bombyx	mori				Bombyx	mori		Accepted	GBIF		gonochorous	ZW			56	56			"Yatsu, N., 1913. Notes on the Spermatogenesis of the Wild and the Domesticated Silkworms. ???????, 8(2), pp.215-220."
Bombycidae	Bombyx	mandarina				Bombyx	mori		Synonym	GBIF		gonochorous					56			"Astaurov, B.L., 1959. Chromosome complex of Ussuri geographical race of Bombyx mandarina M. with special reference to the problem of the origin of the domesticated silkworm, Bombyx mori. Cytology, 3, pp.327-332."
Bombycidae	Bombyx	mandarina				Bombyx	mori		Synonym	GBIF		gonochorous					54			"Yatsu, N., 1913. Notes on the Spermatogenesis of the Wild and the Domesticated Silkworms. ???????, 8(2), pp.215-220."
Bombycidae	Theophila	mandarina				Theophila	mandarina		Accepted	GBIF							54			"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45."
Carposinidae	Carposina	niponensis				Carposina	niponensis		Accepted	GBIF		gonochorous					62			"Saitoh, K. and Yamada, M., 1966. Notes on the chromosomes of the pach fruit moth, Carposina niponensis Walsingham. Kontyu 34(4), pp.301-303."
Charaxidinae	Anaea	aidea				Anaea	aidea		Accepted	GBIF							60			"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201."
Crambidae	Ostrinia	scapulalis				Ostrinia	scapulalis		Accepted	GBIF		gonochorous	ZW			62	62			traut2008sex
Crambidae	Lepyrodes	neptis				Nausinoe	perspectata		Synonym	Lepindex							62			"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149."
Crambidae	Cnaphalocrocis	medinalis				Cnaphalocrocis	medinalis		Accepted	GBIF							60			"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331."
Crambidae	Pygospila	tyres				Pygospila	tyres		Accepted	GBIF							56			"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331."
Cymatophoridae	Thyatira	batis				Thyatira	batis		Accepted	GBIF							62			"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399."
Danaidae	Danaus	chrysippus				Danaus	chrysippus		Accepted	GBIF							60			"Lesse, H.D., 1972. Nombres de chromosomes de quelques Lépidoptères Rhopalocères de Madagascar. Bulletin de la Société entomologique de France, 77(1), pp.9-11."
