Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,cite.key
Agaristidae,Seudyra,subflava  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Apocynaceae,Anartia,amathea,,,,,,,,62,,,"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of Neotropical butterflies from Trinidad and Tobago.ÊBiotropica, pp.24-31."
Apocynaceae,Anartia,fatima,,,,,,,,,,,
Arctiidae,Abraxas,grossulariata  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Arctiidae,Abraxas,grossulariata dohrnii ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Arctiidae,Arctia,caja  ,gonochorous,,,,,NA,,56,,,robinson1971karyology
Arctiidae,Arctia,caja  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Arctia,caja  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Arctia,caja phaesoma ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Arctia,hebe  ,gonochorous,,,,,NA,,63,60-66,,robinson1971karyology
Arctiidae,Cycnial,mendica  ,gonochorous,,,,,NA,,52,,,robinson1971karyology
Arctiidae,Cycnial,mendica  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Earias,fabia  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Earias,insulana  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Hippocrita,jacobaea  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Lophocampa,maculata,gonochorous,ZO,,female heterogametic,,33,,34,,,traut2008sex
Arctiidae,Miltochrista,miniata  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
Arctiidae,Pericallia,ricini  ,gonochorous,,,,,NA,,62,,,robinson1971karyology
