"run","ntip","cond","rr","fission","fusion","aneuploidy"
"empPcond.1.nTips100.rr1.RData.tree.65.RData",100,1,1,0,0,0
"empPcond.1.nTips100.rr10.RData.tree.65.RData",100,1,10,1,0,1
"empPcond.1.nTips100.rr2.RData.tree.65.RData",100,1,2,0,1,0
"empPcond.1.nTips100.rr5.RData.tree.65.RData",100,1,5,1,0,1
"empPcond.1.nTips200.rr1.RData.tree.65.RData",200,1,1,0,1,0.333333333333333
"empPcond.1.nTips200.rr10.RData.tree.65.RData",200,1,10,1,1,1
"empPcond.1.nTips200.rr2.RData.tree.65.RData",200,1,2,1,0,1
"empPcond.1.nTips200.rr5.RData.tree.65.RData",200,1,5,1,1,1
"empPcond.1.nTips50.rr1.RData.tree.65.RData",50,1,1,0,0,0
"empPcond.1.nTips50.rr10.RData.tree.65.RData",50,1,10,1,0,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",50,1,2,0,0,0
"empPcond.1.nTips50.rr5.RData.tree.65.RData",50,1,5,0,1,1
"empPcond.2.nTips100.rr1.RData.tree.65.RData",100,2,1,0,0,0
"empPcond.2.nTips100.rr10.RData.tree.65.RData",100,2,10,0.666666666666667,1,1
"empPcond.2.nTips100.rr2.RData.tree.65.RData",100,2,2,0,1,1
"empPcond.2.nTips100.rr5.RData.tree.65.RData",100,2,5,1,0,1
"empPcond.2.nTips200.rr1.RData.tree.65.RData",200,2,1,0,0.666666666666667,0
"empPcond.2.nTips200.rr10.RData.tree.65.RData",200,2,10,1,1,1
"empPcond.2.nTips200.rr2.RData.tree.65.RData",200,2,2,1,0,1
"empPcond.2.nTips200.rr5.RData.tree.65.RData",200,2,5,1,0,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",50,2,1,0,0,0
"empPcond.2.nTips50.rr10.RData.tree.65.RData",50,2,10,0,0,0
"empPcond.2.nTips50.rr2.RData.tree.65.RData",50,2,2,0,0,0
"empPcond.2.nTips50.rr5.RData.tree.65.RData",50,2,5,1,0,1
"empPcond.3.nTips100.rr1.RData.tree.65.RData",100,3,1,1,0.333333333333333,0.666666666666667
"empPcond.3.nTips100.rr10.RData.tree.65.RData",100,3,10,1,1,1
"empPcond.3.nTips100.rr2.RData.tree.65.RData",100,3,2,0,0,0
"empPcond.3.nTips100.rr5.RData.tree.65.RData",100,3,5,0.666666666666667,1,1
"empPcond.3.nTips200.rr1.RData.tree.65.RData",200,3,1,1,1,1
"empPcond.3.nTips200.rr10.RData.tree.65.RData",200,3,10,1,1,1
"empPcond.3.nTips200.rr2.RData.tree.65.RData",200,3,2,0,1,1
"empPcond.3.nTips200.rr5.RData.tree.65.RData",200,3,5,1,1,1
"empPcond.3.nTips50.rr1.RData.tree.65.RData",50,3,1,0,0,0.333333333333333
"empPcond.3.nTips50.rr10.RData.tree.65.RData",50,3,10,1,0,1
"empPcond.3.nTips50.rr2.RData.tree.65.RData",50,3,2,1,1,1
"empPcond.3.nTips50.rr5.RData.tree.65.RData",50,3,5,1,1,1
