"run","rep","fission","fusion","aneuploidy","tips","rr","cond"
"empPcond.1.nTips50.rr1.RData.tree.65.RData",1,0.43,1,0.56,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",1,0.18,0.01,0,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",1,0.23,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",1,0.01,1,0.02,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",1,0.95,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",1,0.34,0.74,0.56,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",1,1,0.49,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",1,0.16,0.01,0,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",1,0.33,0.14,0.11,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",1,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",1,0.01,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",1,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",2,0.52,1,0.71,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",2,0.08,0.01,0.02,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",2,0.25,1,0.99,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",2,0.02,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",2,0.98,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",2,0.3,0.79,0.48,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",2,1,0.52,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",2,0.19,0.03,0.03,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",2,0.28,0.15,0.08,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",2,0.97,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",2,0.01,0.03,0.01,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",2,0.02,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",3,0.49,1,0.73,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",3,0.14,0.01,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",3,0.25,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",3,0.03,1,0.05,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",3,0.93,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",3,0.33,0.82,0.49,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",3,1,0.51,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",3,0.17,0.02,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",3,0.16,0.09,0.03,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",3,0.98,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",3,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",3,0.01,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",4,0.54,1,0.75,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",4,0.12,0,0.01,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",4,0.28,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",4,0.01,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",4,0.94,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",4,0.32,0.71,0.51,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",4,1,0.49,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",4,0.19,0,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",4,0.22,0.11,0.08,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",4,0.99,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",4,0,0,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",4,0,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",5,0.53,1,0.7,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",5,0.19,0.01,0.03,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",5,0.33,1,0.98,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",5,0.01,1,0.07,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",5,0.97,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",5,0.27,0.75,0.49,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",5,1,0.54,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",5,0.16,0.01,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",5,0.15,0.11,0.03,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",5,0.98,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",5,0,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",5,0.03,0,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",6,0.5,1,0.64,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",6,0.18,0.01,0.03,50,10,1
"empPcond.1.nTips50.rr2.RData.tree.65.RData",6,0.33,1,1,50,2,1
"empPcond.1.nTips50.rr5.RData.tree.65.RData",6,0.04,1,0.03,50,5,1
"empPcond.2.nTips50.rr1.RData.tree.65.RData",6,0.99,1,1,50,1,2
"empPcond.2.nTips50.rr10.RData.tree.65.RData",6,0.3,0.74,0.56,50,10,2
"empPcond.2.nTips50.rr2.RData.tree.65.RData",6,1,0.54,1,50,2,2
"empPcond.2.nTips50.rr5.RData.tree.65.RData",6,0.23,0.01,0.01,50,5,2
"empPcond.3.nTips50.rr1.RData.tree.65.RData",6,0.27,0.04,0.08,50,1,3
"empPcond.3.nTips50.rr10.RData.tree.65.RData",6,0.97,0,0,50,10,3
"empPcond.3.nTips50.rr2.RData.tree.65.RData",6,0.01,0.01,0,50,2,3
"empPcond.3.nTips50.rr5.RData.tree.65.RData",6,0.02,0.01,0,50,5,3
"empPcond.1.nTips50.rr1.RData.tree.65.RData",7,0.53,1,0.7,50,1,1
"empPcond.1.nTips50.rr10.RData.tree.65.RData",7,0.15,0.02,0.04,50,10,1
