Genus,species,speciesNames,wingspan(inch),wingspan(mm),wingspanMean(mm),forwingLength(mm),source,notes
Catopsilia,pyranthe,Catopsilia pyranthe,,58.7,58.7,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Catopsilia,pomona,Catopsilia pomona,,64.1,64.1,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Junonia,iphita,Junonia iphita,,65.1,65.1,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Danaus,chrysippus,Danaus chrysippus,,75.6,75.6,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Graphium,doson,Graphium doson,,80.7,80.7,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Danaus,genutia,Danaus genutia,,84.6,84.6,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Papilio,demoleus,Papilio demoleus,,84.9,84.9,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Hypolimnas,bolina,Hypolimnas bolina,,85.7,85.7,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Papilio,polytes,Papilio polytes,,94.3,94.3,,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. (2009). Adult butterfly feeding–nectar flower associations: constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13-14), 855-884.",
Appias,lyncida,Appias lyncida,,56.9,56.9,,Zing-2018,
Cyrestis,thyodamas,Cyrestis thyodamas,,43.6,43.6,,Zing-2018,
Damora,sagana,Damora sagana,,68.9,68.9,,Zing-2018,
Vanessa,indica,Vanessa indica,,56.7,56.7,,Zing-2018,
Libythea,celtis,Libythea celtis,,48.9,48.9,,Zing-2018,
Kaniska,canace,Kaniska canace,,56.6,56.6,,Zing-2018,
Papilio,protenor,Papilio protenor,,89.4,89.4,,Zing-2018,
Papilio,bianor,Papilio bianor,,85.1,85.1,,Zing-2018,
Papilio,paris,Papilio paris,,89.7,89.7,,Zing-2018,
Papilio,nephelus,Papilio nephelus,,104.4,104.4,,Zing-2018,
Papilio,memnon,Papilio memnon,,109.1,109.1,,Zing-2018,
Papilio,helenus,Papilio helenus,,104.4,104.4,,Zing-2018,
Euploea,mulciber,Euploea mulciber,,70.9,70.9,,Zing-2018,
Mycalesis,francisca,Mycalesis francisca,,43.8,43.8,,Zing-2018,
Ixias,pyrene,Ixias pyrene,,56.8,56.8,,Zing-2018,
Mycalesis,gotama,Mycalesis gotama,,35.6,35.6,,Zing-2018,
Elymnias,hypermnestra,Elymnias hypermnestra,,52.1,52.1,,Zing-2018,
Delias,pasithoe,Delias pasithoe,,61.2,61.2,,Zing-2018,
Graphium,sarpedon,Graphium sarpedon,,64.4,64.4,,Zing-2018,
Hebomoia,glaucippe,Hebomoia glaucippe,,84.1,84.1,,Zing-2018,
Taraka,hamada,Taraka hamada,,21,21.0,,Zing-2018,
Troides,helena,Troides helena,,116.8,116.8,,Zing-2018,
Philaethria,dido,Philaethria dido,,,,,,
Parnassius,stubbendorfii,Parnassius stubbendorfii,,,,,,
Parnassius,glacialis,Parnassius glacialis,,,,,,
Nica,flavilla,Nica flavilla,,,,,,
Palla,violinitens,Palla violinitens,,,,,,
Taygetis,ypthima,Taygetis ypthima,,,,,,
Amauris,tartarea,Amauris tartarea,,,,,,
Argynnis,anadyomene,Argynnis anadyomene,,,,,,
Godartiana,muscosa,Godartiana muscosa,,,,,,
Ithomia,salapia,Ithomia salapia,,,,,,
Mestra,dorcas,Mestra dorcas,,,,,,
Tellervo,zoilus,Tellervo zoilus,,,,,,
Oleria,zelica,Oleria zelica,,,,,,
Appias,sabina,Appias sabina,,,,,,
Epiphile,orea,Epiphile orea,,,,,,
Acraea,bonasia,Acraea bonasia,,,,,,
Acraea,zetes,Acraea zetes,,,,,,
Junonia,westermanni,Junonia westermanni,,,,,,
Vanessa,virginiensis,Vanessa virginiensis,,,,,,
Eueides,vibilia,Eueides vibilia,,,,,,
Pseudoscada,timna,Pseudoscada timna,,,,,,
Actinote,thalia,Actinote thalia,,,,,,
Telenassa,teletusa,Telenassa teletusa,,,,,,
Eueides,tales,Eueides tales,,,,,,
Siproeta,stelenes,Siproeta stelenes,,,,,,
Aphrissa,statira,Aphrissa statira,,,,,,
Acraea,ranavalona,Acraea ranavalona,,,,,,
Opsiphanes,quiteria,Opsiphanes quiteria,,,,,,
Actinote,pyrrha,Actinote pyrrha,,,,,,
Eueides,procula,Eueides procula,,,,,,
Dryadula,phaetusa,Dryadula phaetusa,,,,,,
Actinote,pellenea,Actinote pellenea,,,,,,
Eueides,pavana,Eueides pavana,,,,,,
Actinote,parapheles,Actinote parapheles,,,,,,
Junonia,oenone,Junonia oenone,,,,,,
Chlosyne,narva,Chlosyne narva,,,,,,
Dione,moneta,Dione moneta,,,,,,
Gonepteryx,mahaguru,Gonepteryx mahaguru,,,,,,
Eueides,lybia,Eueides lybia,,,,,,
Doxocopa,laure,Doxocopa laure,,,,,,
Chlosyne,lacinia,Chlosyne lacinia,,,,,,
Dione,juno,Dione juno,,,,,,
Dryas,iulia,Dryas iulia,,,,,,
Ortilia,ithra,Ortilia ithra,,,,,,
Eueides,isabella,Eueides isabella,,,,,,
Dione,glycera,Dione glycera,,,,,,
Junonia,genoveva,Junonia genoveva,,,,,,
Catopsilia,florella,Catopsilia florella,,,,,,
Anartia,fatima,Anartia fatima,,,,,,
Junonia,evarete,Junonia evarete,,,,,,
Zegris,eupheme,Zegris eupheme,,,,,,
Colias,electo,Colias electo,,,,,,
Colobura,dirce,Colobura dirce,,,,,,
Diaethria,clymena,Diaethria clymena,,,,,,
Anteos,clorinde,Anteos clorinde,,,,,,
Zerene,cesonia,Zerene cesonia,,,,,,
Anetia,briarea,Anetia briarea,,,,,,
Smyrna,blomfildia,Smyrna blomfildia,,,,,,
Anartia,amathea,Anartia amathea,,,,,,
Papilio,zelicaon,Papilio zelicaon,,,,,,
Parides,zacynthus,Parides zacynthus,,,,,,
Papilio,troilus,Papilio troilus,,,,,,
Anaea,troglodyta,Anaea troglodyta,,,,,,
Parides,ascanius,Parides ascanius,,,,,,
Parides,anchises,Parides anchises,,,,,,
Parides,neophilus,Parides neophilus,,,,,,
Lycorea,ilione,Lycorea ilione,,,,,,
Danaus,eresimus,Danaus eresimus,,,,,,
Papilio,dardanus,Papilio dardanus,,,,,,
Adelpha,cytherea,Adelpha cytherea,,,,,,
Meandrusa,payeni,Meandrusa payeni,,,,,,
Delias,descombesi,Delias descombesi,,,,,,
Philaethria,wernickei,Philaethria wernickei,,,,,,
Brassolis,sophorae,Brassolis sophorae,,,,,,
Praepedaliodes,phanias,Praepedaliodes phanias,,,,,,
Speyeria,mormonia,Speyeria mormonia,,,,,,
Hypoleria,lavinia,Hypoleria lavinia,,,,,,
Caligo,idomeneus,Caligo idomeneus,,,,,,
Danaus,gilippus,Danaus gilippus,,,,,,
Dynastor,darius,Dynastor darius,,,,,,
Bicyclus,vulgaris,Bicyclus vulgaris,,,,,,
Morpho,peleides,Morpho peleides,,,,,,
Biblis,hyperia,Biblis hyperia,,,,,,
Manataria,hercyna,Manataria hercyna,,,,,,
Tatochila,autodice,Tatochila autodice,,,,,,
Bicyclus,anynana,Bicyclus anynana,,,,,,
Charaxes,zingha,Charaxes zingha,,,,,,
Consul,fabius,Consul fabius,,,,,,
Charaxes,zoolina,Charaxes zoolina,,,,,,
Heliconius,doris,Heliconius doris,,,,,,
Byblia,anvatara,Byblia anvatara,,,,,,
Charaxes,antamboulou,Charaxes antamboulou,,,,,,
Lysandra,syriaca,Lysandra syriaca,,,,,,
Arhopala,pseudocentaurus,Arhopala pseudocentaurus,,,,,,
Arhopala,abseus,Arhopala abseus,,,,,,
Pseudopieris,nehemia,Pseudopieris nehemia,,,,,,
Aterica,galene,Aterica galene,,,,,,
Heliconius,xanthocles,Heliconius xanthocles,,,,,,
Heliconius,wallacei,Heliconius wallacei,,,,,,
Heliconius,timareta,Heliconius timareta,,,,,,
Heliconius,sara,Heliconius sara,,,,,,
Heliconius,pardalinus,Heliconius pardalinus,,,,,,
Heliconius,pachinus,Heliconius pachinus,,,,,,
Heliconius,nattereri,Heliconius nattereri,,,,,,
Zaretis,itys,Zaretis itys,,,,,,
Heliconius,ismenius,Heliconius ismenius,,,,,,
Heliconius,hortense,Heliconius hortense,,,,,,
Heliconius,hewitsoni,Heliconius hewitsoni,,,,,,
Heliconius,heurippa,Heliconius heurippa,,,,,,
Heliconius,hermathena,Heliconius hermathena,,,,,,
Heliconius,hecalesia,Heliconius hecalesia,,,,,,
Heliconius,hecale,Heliconius hecale,,,,,,
Siderone,galanthis,Siderone galanthis,,,,,,
Heliconius,ethilla,Heliconius ethilla,,,,,,
Heliconius,elevatus,Heliconius elevatus,,,,,,
Heliconius,egeria,Heliconius egeria,,,,,,
Heliconius,demeter,Heliconius demeter,,,,,,
Heliconius,cydno,Heliconius cydno,,,,,,
Heliconius,clysonymus,Heliconius clysonymus,,,,,,
Episcada,clausina,Episcada clausina,,,,,,
Salamis,cacta,Salamis cacta,,,,,,
Heliconius,burneyi,Heliconius burneyi,,,,,,
Heliconius,besckei,Heliconius besckei,,,,,,
Heliconius,aoede,Heliconius aoede,,,,,,
Heliconius,antiochus,Heliconius antiochus,,,,,,
Agrodiaetus,poseidon,Agrodiaetus poseidon,,,,,,
Melinaea,menophilus,Melinaea menophilus,,,,,,
Ithomia,drymo,Ithomia drymo,,,,,,
Hypothyris,daphnis,Hypothyris daphnis,,,,,,
Erebia,niphonica,Erebia niphonica,,,,,,
Mechanitis,polymnia,Mechanitis polymnia,,,,,,
Ithomia,patilla,Ithomia patilla,,,,,,
Mechanitis,lysimnia,Mechanitis lysimnia,,,,,,
Ithomia,agnosia,Ithomia agnosia,,,,,,
Taygetis,virgilia,Taygetis virgilia,,,,,,
Thyridia,psidii,Thyridia psidii,,,,,,
Epityches,eupompe,Epityches eupompe,,,,,,
Ithomia,diasia,Ithomia diasia,,,,,,
Ithomia,celemia,Ithomia celemia,,,,,,
Hyposcada,virginiana,Hyposcada virginiana,,,,,,
Catonephele,numilia,Catonephele numilia,,,,,,
Dircenna,dero,Dircenna dero,,,,,,
Methona,themisto,Methona themisto,,,,,,
Tithorea,harmonia,Tithorea harmonia,,,,,,
Hemiargus,hanno,Hemiargus hanno,,,,,,
Temenis,laothoe,Temenis laothoe,,,,,,
Hermeuptychia,hermes,Hermeuptychia hermes,,,,,,
Pinacopteryx,eriphia,Pinacopteryx eriphia,,,,,,
Callithomia,lenea,Callithomia lenea,,,,,,
Leptosia,alcesta,Leptosia alcesta,,,,,,
Ithomia,iphianassa,Ithomia iphianassa,,,,,,
Oleria,victorine,Oleria victorine,,,,,,
Hypna,clytemnestra,Hypna clytemnestra,,,,,,
Heliconius,sapho,Heliconius sapho,,,,,,
Heliconius,ricini,Heliconius ricini,,,,,,
Papilio,polyxenes,Papilio polyxenes,,,,,,
Heliconius,melpomene,Heliconius melpomene,,,,,,
Emesis,mandana,Emesis mandana,,,,,,
Poritia,erycinoides,Poritia erycinoides,,,,,,
Eresia,coela,Eresia coela,,,,,,
Castilia,myia,Castilia myia,,,,,,
Historis,odius,Historis odius,,,,,,
Marpesia,chiron,Marpesia chiron,,,,,,
Pyrrhogyra,crameri,Pyrrhogyra crameri,,,,,,
Myscelia,cyaniris,Myscelia cyaniris,,,,,,
Hamadryas,februa,Hamadryas februa,,,,,,
Sephisa,dichroa,Sephisa dichroa,,,,,,
Pseudacraea,lucretia,Pseudacraea lucretia,,,,,,
Euthalia,monina,Euthalia monina,,,,,,
Napeogenes,sylphis,Napeogenes sylphis,,,,,,
Pteronymia,vestilla,Pteronymia vestilla,,,,,,
Ceratinia,tutia,Ceratinia tutia,,,,,,
Godyris,zavaleta,Godyris zavaleta,,,,,,
Forbestra,olivencia,Forbestra olivencia,,,,,,
Scada,zibia,Scada zibia,,,,,,
Cissia,confusa,Cissia confusa,,,,,,
Fountainea,ryphea,Fountainea ryphea,,,,,,
Turanana,cytis,Turanana cytis,,,,,,
Satyrium,prunoides,Satyrium prunoides,,,,,,
Mylothris,agathina,Mylothris agathina,,,,,,
Belenois,antsianaka,Belenois antsianaka,,,,,,
Leptophobia,aripa,Leptophobia aripa,,,,,,
Dixeia,charina,Dixeia charina,,,,,,
Colotis,hetaera,Colotis hetaera,,,,,,
Dismorphia,amphiona,Dismorphia amphiona,,,,,,
